,frame_index,car_id,car_type,speed
793,291,41,car,160.0
794,292,31,car,660.0
795,292,38,car,160.0
796,292,40,car,300.0
797,292,41,car,180.0
798,293,31,car,720.0
799,293,38,car,160.0
800,293,40,car,260.0
801,293,41,car,180.0
802,294,31,car,760.0
803,294,38,car,200.0
804,294,40,car,240.0
805,294,41,car,200.0
806,295,31,car,840.0
807,295,38,car,140.0
808,295,40,car,260.0
809,295,41,car,160.0
810,296,31,car,940.0
811,296,38,car,140.0
812,296,40,car,240.0
813,296,41,car,160.0
814,297,31,car,1020.0
815,297,38,car,140.0
816,297,40,car,240.0
817,297,41,car,200.0
818,298,31,car,1140.0
819,298,38,car,140.0
820,298,40,car,240.0
821,298,41,car,160.0
822,299,31,car,1300.0
823,299,38,car,140.0
824,299,40,car,180.0
825,299,41,car,140.0
826,300,38,car,140.0
827,300,40,car,200.0
828,300,41,car,160.0
829,301,40,car,260.0
830,301,41,car,160.0
831,302,40,car,260.0
832,302,41,car,160.0
833,303,38,car,140.0
834,303,40,car,220.0
835,303,41,car,140.0
836,304,40,car,200.0
837,305,40,car,140.0
838,305,41,car,140.0
839,306,40,car,140.0
840,306,41,car,140.0
841,307,40,car,160.0
842,308,40,car,180.0
843,309,40,car,200.0
844,310,40,car,200.0
845,311,40,car,180.0
846,312,40,car,160.0
847,313,40,car,160.0
848,314,40,car,140.0
849,315,40,car,160.0
850,316,40,car,160.0
851,317,40,car,160.0
852,318,40,car,140.0
853,319,40,car,140.0
854,319,45,car,320.0
855,320,40,car,160.0
856,320,45,car,280.0
857,321,40,car,160.0
858,321,45,car,300.0
859,322,40,car,140.0
860,322,45,car,300.0
861,323,45,car,340.0
862,324,45,car,380.0
863,325,45,car,320.0
864,325,47,car,320.0
865,326,40,car,140.0
866,326,45,car,360.0
867,326,47,car,280.0
868,327,40,car,140.0
869,327,45,car,400.0
870,327,47,car,300.0
871,328,45,car,400.0
872,328,47,car,300.0
873,329,45,car,340.0
874,329,47,car,260.0
875,330,45,car,340.0
876,330,47,car,240.0
877,331,45,car,340.0
878,331,47,car,260.0
879,332,45,car,300.0
880,332,47,car,240.0
881,333,45,car,300.0
882,333,47,car,200.0
883,334,45,car,340.0
884,334,47,car,220.0
885,335,45,car,320.0
886,335,47,car,200.0
887,336,45,car,260.0
888,336,47,car,200.0
889,337,45,car,280.0
890,337,47,car,180.0
891,338,45,car,300.0
892,338,47,car,180.0
893,339,45,car,260.0
894,339,47,car,220.0
895,340,45,car,260.0
896,340,47,car,160.0
897,341,45,car,260.0
898,341,47,car,160.0
899,342,45,car,260.0
900,342,47,car,180.0
901,342,49,car,360.0
902,343,45,car,220.0
903,343,47,car,160.0
904,343,49,car,380.0
905,344,45,car,220.0
906,344,47,car,160.0
907,344,49,car,340.0
908,345,45,car,220.0
909,345,47,car,140.0
910,345,49,car,320.0
911,346,39,car,140.0
912,346,45,car,240.0
913,346,47,car,160.0
